East,North,ROI_P,ROI_BR,Dist
,,0.1114774860548024,0.0,2.01360701093528
,,0.10668808433777537,0.0,6.242181733899369
,,0.11263429623610424,0.0,10.269395755769931
,,0.13316166673634314,0.0,14.49797047873402
,,0.12864167852727793,0.0,18.72654520169811
,,0.13631822836207344,0.0,22.75375922356867
,,0.16276505004359057,0.0,26.982333946532762
,,0.1565768317563623,0.0,31.210908669496842
,,0.16633064151815805,0.0,35.23812269136741
,,0.1971123434649697,0.0,39.4666974143315
,,0.1901916366312258,0.0,43.69527213729559
,,0.20352186354302307,0.0,47.72248615916615
,,0.24260131066726162,0.0,51.95106088213024
,,0.23482789406344096,0.0,56.179635605094326
,,0.25168479737554,0.0,60.20684962696488
,,0.3007732145507695,0.0,64.43542434992898
,,0.29066939672429515,0.0,68.66399907289306
,,0.30849491680242114,0.0,72.69121309476363
,,0.3709640545861279,0.0,76.91978781772772
,,0.36301402926250853,0.0,81.1483625406918
,,0.39151791785170387,0.0,85.17557656256236
,,0.47012761224046906,0.0,89.40415128552647
,,0.4569415388424893,0.0,93.63272600849055
,,0.4931431653383229,0.0,97.6599400303611
,,0.595672917237316,0.0,101.88851475332518
,,0.5752382314252233,0.0,106.1170894762893
,,0.6124882196073144,0.0,110.14430349815984
,,0.7503934190086871,0.0,114.37287822112394
,,0.7279502351063506,0.0,118.60145294408804
,,0.7839068954704641,0.0,122.62866696595859
,,0.9573608745310586,0.0,126.85724168892267
,,0.9330544317936031,0.0,131.08581641188678
,,1.018049331905435,0.0,135.11303043375733
,,1.2282674236116888,0.0,139.34160515672139
,,1.2023978873368988,0.0,143.5701798796855
,,1.3036600359032182,0.0,147.59739390155605
,,1.5825398786518918,0.0,151.82596862452013
,,1.5587527908435441,0.0,156.05454334748427
,,1.7008556960097372,0.0,160.08175736935482
,,2.0544469196524213,0.0,164.31033209231887
,,2.0287952849495117,0.0,168.53890681528296
,,2.216907268702864,0.0,172.5661208371535
,,2.6922699068921148,0.0,176.79469556011762
,,2.64887684218206,0.0,181.02327028308173
,,2.89820121215036,0.0,185.05048430495225
,,3.5370039738470127,0.0,189.27905902791636
,,3.4692075671962743,0.0,193.50763375088044
,,3.7734019479669088,0.0,197.534847772751
,,4.603745879218284,0.0,201.7634224957151
,,4.575039427519742,0.0,205.99199721867916
,,5.022308975543287,0.0,210.01921124054974
,,6.055731968023588,0.0,214.24778596351388
,,5.986387473670859,0.0,218.4763606864779
,,6.518357324965529,0.0,222.50357470834848
,,7.9110131751734265,0.0,226.7321494313126
,,7.841706768769366,0.0,230.96072415427665
,,8.51660406399776,0.0,234.98793817614722
,,10.296401763701452,0.0,239.2165128991113
,,9.97777305716534,0.0,243.44508762207542
,,10.600203757170629,0.0,247.472301643946
,,12.823099338667667,0.0,251.70087636691005
,,12.439633314936831,0.0,255.92945108987414
,,13.297996024641709,0.0,259.95666511174466
,,15.221217453798376,0.0,264.1852398347088
,,13.6727491537182,0.0,268.4138145576729
,,14.130784637885158,0.0,272.44102857954346
,,15.886387057581068,0.0,276.66960330250754
,,14.51115986410514,0.0,280.89817802547157
,,15.01856706239084,0.0,284.9253920473422
,,16.382062515331953,0.0,289.1539667703063
,,15.21080165641883,0.0,293.38254149327037
,,15.386141042385079,0.0,297.40975551514094
,,17.018352280477647,0.0,301.63833023810497
,,13.9021146386497,0.0,305.8669049610691
,,14.064501272009974,0.0,309.89411898293963
,,16.327820416632612,0.0,314.1226937059038
,,13.998661644038517,0.0,318.35126842886785
,,12.85464564947133,0.0,322.3784824507384
,,14.973491733567725,0.0,326.6070571737025
,,13.153863284576378,0.0,330.83563189666654
,,12.583260082926923,0.0,334.8628459185372
,,13.604733820509008,0.0,339.09142064150126
,,11.570319238706773,0.0,343.3199953644653
,,10.862980010408274,0.0,347.3472093863359
,,10.964530619413672,0.0,351.5757841093
,,8.286104138991256,0.0,355.8043588322641
,,3.540227612088378,0.0,359.8315728541346
,,1.2525975039750912,0.0,364.06014757709875
,,0.5781754544564077,0.0,368.28872230006283
,,0.05231804188419463,0.0,372.3159363219334
,,0.053860184350113374,0.0,376.54451104489743
,,0.04198365311010073,0.0,380.7730857678615
,,0.04292562074824625,0.0,384.80029978973215
,,0.044214063101927284,0.0,388.82751381160267
,,0.04399085397444501,0.0,393.05608853456675
,,0.029513916156421308,0.0,397.2846632575309
,,0.02561600167498695,0.0,401.31187727940136
,,0.02765895520038049,0.0,405.54045200236544
,,0.021091220759553237,0.0,409.7690267253296
,,0.040101479639637824,0.0,413.79624074720016
,,0.06775804999892535,0.0,418.0248154701642
,,0.11843188418454607,0.0,422.2533901931283
,,0.2122276284079047,0.0,426.28060421499885
,,0.301031922383345,0.0,430.509178937963
,,0.13969362497637433,0.0,434.73775366092707
,,0.9828322379915829,0.0,438.7649676827976
,,1.2023882214138726,0.0,442.99354240576173
,,0.7360192797183313,0.0,447.22211712872576
,,0.8906790507467489,0.0,451.2493311505963
,,1.102945632466485,0.0,455.4779058735605
,,0.9279065822867313,0.0,459.70648059652456
,,0.8818470449843288,0.0,463.733694618395
,,0.9295505952025841,0.0,467.9622693413592
,,0.6737675208857153,0.0,472.1908440643233
,,0.3389128151294445,0.0,476.2180580861938
,,0.38708549455363583,0.0,480.4466328091579
,,0.46354136549996305,0.0,484.67520753212193
,,0.4108090584549849,0.0,488.7024215539926
