,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11145,11146,14.0003883,55.8185601,1386868.3,6189204.8,1.0,1.0,55725,789.33,28.06,415.15,20.35,162.67,12.74,51.91,7.2,43.28,6.57,100.02,9.99,75.83,8.7,85.91,9.26,8.94,2.99,9.9,3.14
11146,11147,14.0003995,55.8185157,1386868.9,6189199.9,1.0,1.01,55730,789.08,27.93,405.83,20.03,159.74,12.56,55.44,7.4,39.96,6.28,98.33,9.86,82.1,9.01,92.73,9.57,9.9,3.13,9.63,3.09
11147,11148,14.0004118,55.8184713,1386869.5,6189194.9,1.0,1.02,55735,780.56,27.67,401.51,19.85,156.58,12.39,59.48,7.64,38.34,6.13,100.89,9.95,85.97,9.18,100.34,9.92,11.86,3.41,9.64,3.08
11148,11149,14.0004249,55.818427,1386870.2,6189190.0,1.0,1.02,55740,774.6,27.59,401.41,19.86,160.16,12.54,62.3,7.82,42.9,6.49,111.45,10.46,85.21,9.15,102.18,10.02,14.19,3.73,10.28,3.18
11149,11150,14.0004382,55.8183827,1386870.9,6189185.0,1.0,1.01,55745,777.0,27.75,406.67,20.08,171.84,13.05,63.58,7.94,51.27,7.13,125.81,11.17,82.47,9.04,100.06,9.96,16.17,4.0,11.51,3.38
11150,11151,14.0004507,55.8183383,1386871.6,6189180.0,1.0,1.0,55750,789.85,28.1,419.86,20.49,188.85,13.74,64.0,8.0,56.0,7.48,133.99,11.58,83.96,9.16,101.95,10.1,17.0,4.12,12.99,3.6
11151,11152,14.0004622,55.8182938,1386872.2,6189175.1,1.0,1.0,55755,813.34,28.56,441.56,21.04,207.8,14.44,64.37,8.03,52.15,7.23,129.6,11.4,93.2,9.67,113.24,10.66,16.12,4.02,14.34,3.79
11152,11153,14.0004742,55.8182495,1386872.8,6189170.1,1.0,1.0,55760,840.16,29.01,464.26,21.56,223.03,14.95,65.86,8.12,45.6,6.76,121.76,11.04,102.29,10.12,128.27,11.33,13.88,3.73,15.08,3.89
11153,11154,14.000489,55.8182054,1386873.6,6189165.2,1.0,1.0,55765,861.18,29.34,478.45,21.87,228.43,15.11,69.64,8.34,44.88,6.7,123.32,11.1,100.6,10.03,138.58,11.77,10.92,3.3,14.72,3.84
11154,11155,14.0005078,55.8181617,1386874.7,6189160.3,1.0,1.0,55770,873.36,29.53,479.96,21.89,222.37,14.9,74.63,8.63,51.87,7.2,135.99,11.65,87.05,9.32,139.92,11.82,8.31,2.88,13.54,3.68
11155,11156,14.0005299,55.8181185,1386875.9,6189155.4,1.0,1.0,55775,882.62,29.71,472.46,21.73,209.87,14.49,76.29,8.73,58.59,7.65,144.95,12.04,74.78,8.65,134.18,11.58,7.81,2.79,12.95,3.6
11156,11157,14.0005545,55.8180758,1386877.3,6189150.7,1.0,1.0,55780,894.33,29.93,460.38,21.48,196.29,14.02,71.15,8.44,57.84,7.61,137.44,11.73,75.29,8.69,124.02,11.15,10.62,3.26,14.05,3.75
11157,11158,14.000581,55.8180335,1386878.9,6189145.9,1.0,1.0,55785,906.27,30.14,448.85,21.21,185.7,13.64,63.66,7.99,51.63,7.19,120.89,11.01,83.58,9.15,113.71,10.68,14.18,3.77,15.32,3.92
11158,11159,14.0006089,55.8179914,1386880.5,6189141.2,1.0,1.0,55790,913.31,30.19,443.17,21.03,181.65,13.46,61.17,7.81,45.42,6.73,110.19,10.49,88.54,9.4,108.03,10.38,14.57,3.81,14.32,3.78
11159,11160,14.0006387,55.8179497,1386882.2,6189136.5,1.0,1.01,55795,909.21,29.98,443.1,20.93,183.79,13.48,65.82,8.07,42.03,6.45,111.33,10.49,85.58,9.2,108.64,10.36,10.76,3.26,10.65,3.24
11160,11161,14.0006717,55.8179088,1386884.2,6189131.9,1.0,1.02,55800,885.77,29.48,439.15,20.76,185.24,13.48,71.0,8.35,39.94,6.26,115.44,10.64,81.0,8.92,111.84,10.48,6.6,2.54,7.31,2.68
11161,11162,14.0007096,55.8178694,1386886.5,6189127.4,1.0,1.02,55805,836.45,28.66,422.24,20.36,179.24,13.26,69.96,8.29,37.37,6.06,113.02,10.53,81.49,8.94,113.66,10.56,6.0,2.43,7.35,2.69
11162,11163,14.0007515,55.8178311,1386889.0,6189123.1,1.0,1.01,55810,775.66,27.71,398.0,19.85,167.35,12.87,63.13,7.9,34.31,5.83,103.8,10.14,86.33,9.24,112.35,10.54,8.8,2.95,10.23,3.18
11163,11164,14.0007948,55.8177933,1386891.6,6189118.8,1.0,1.0,55815,731.05,27.05,381.42,19.54,156.43,12.51,55.57,7.46,31.88,5.65,93.37,9.67,90.11,9.5,107.56,10.38,12.19,3.49,13.14,3.63
11164,11165,14.0008378,55.8177555,1386894.2,6189114.5,1.0,0.99,55820,720.73,27.0,381.85,19.65,151.51,12.38,50.98,7.18,30.92,5.59,86.12,9.33,89.06,9.49,99.96,10.05,14.04,3.77,13.97,3.76
11165,11166,14.0008809,55.8177177,1386896.8,6189110.3,1.0,0.98,55825,731.08,27.29,389.88,19.93,151.37,12.42,48.55,7.03,31.39,5.65,82.4,9.16,85.03,9.31,93.37,9.75,14.5,3.84,12.94,3.63
11166,11167,14.0009248,55.8176803,1386899.4,6189106.0,1.0,0.98,55830,741.99,27.51,392.29,20.01,153.52,12.52,46.51,6.89,33.03,5.81,81.71,9.13,81.02,9.09,92.24,9.7,14.21,3.81,10.76,3.31
11167,11168,14.0009699,55.8176432,1386902.1,6189101.8,1.0,0.98,55835,740.55,27.43,382.12,19.7,156.08,12.59,44.32,6.71,35.77,6.03,84.0,9.24,78.81,8.95,97.72,9.96,13.61,3.72,8.36,2.91
11168,11169,14.001016,55.8176066,1386904.9,6189097.7,1.0,0.99,55840,730.47,27.13,366.89,19.23,158.5,12.64,44.2,6.67,39.87,6.34,90.21,9.53,77.38,8.83,103.29,10.2,12.77,3.59,7.19,2.69
11169,11170,14.0010629,55.8175703,1386907.7,6189093.5,1.0,1.0,55845,717.83,26.76,356.17,18.85,160.44,12.65,48.75,6.97,45.67,6.75,101.41,10.06,75.34,8.67,101.41,10.06,11.71,3.42,8.74,2.95
11170,11171,14.0011103,55.8175341,1386910.6,6189089.4,1.0,1.01,55850,708.74,26.45,354.59,18.71,161.72,12.64,58.14,7.58,52.56,7.2,116.62,10.73,72.06,8.44,90.36,9.45,10.58,3.23,13.05,3.59
11171,11172,14.0011579,55.8174981,1386913.5,6189085.4,1.0,1.02,55855,709.35,26.38,357.46,18.73,162.49,12.63,67.92,8.16,58.19,7.56,130.91,11.33,68.4,8.19,79.5,8.83,9.85,3.11,17.38,4.13
11172,11173,14.0012055,55.8174621,1386916.4,6189081.3,1.0,1.02,55860,725.49,26.68,359.24,18.78,162.94,12.65,73.3,8.48,60.16,7.68,139.13,11.69,65.38,8.01,79.08,8.81,10.01,3.13,18.75,4.29
11173,11174,14.0012529,55.817426,1386919.2,6189077.2,1.0,1.01,55865,753.76,27.28,359.76,18.85,163.7,12.71,73.17,8.5,59.24,7.65,141.11,11.81,63.43,7.91,89.71,9.41,11.02,3.3,16.59,4.05
11174,11175,14.0013002,55.8173899,1386922.1,6189073.1,1.0,1.0,55870,780.85,27.89,364.64,19.06,165.88,12.85,70.44,8.38,59.69,7.71,142.05,11.89,62.32,7.88,101.65,10.06,12.36,3.51,12.88,3.58
11175,11176,14.0013475,55.8173537,1386924.9,6189069.0,1.0,1.0,55875,793.39,28.2,379.46,19.51,170.56,13.08,68.14,8.27,65.75,8.12,147.22,12.15,61.83,7.87,104.98,10.26,13.45,3.67,9.67,3.11
11176,11177,14.0013947,55.8173175,1386927.8,6189064.9,1.0,0.99,55880,789.61,28.17,401.8,20.1,177.31,13.35,67.4,8.23,76.6,8.77,156.26,12.53,61.97,7.89,98.88,9.97,13.91,3.74,7.75,2.79
11177,11178,14.0014417,55.8172812,1386930.6,6189060.7,1.0,1.0,55885,780.27,27.97,420.52,20.54,184.13,13.59,67.22,8.21,85.93,9.28,162.81,12.78,63.01,7.95,92.38,9.63,13.56,3.69,6.55,2.56
11178,11179,14.0014882,55.8172448,1386933.4,6189056.6,1.0,1.0,55890,776.51,27.81,424.55,20.57,188.97,13.72,66.58,8.14,87.45,9.33,160.5,12.65,65.2,8.06,94.63,9.71,12.24,3.49,5.46,2.33
