SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
1,13.9130172,56.1012041,1382251.4,6220707.2,1,0.98,0,1021.43,32.28,504.08,22.68,229.59,15.31,77.55,8.9,58.16,7.7,144.9,12.16,114.29,10.8,153.06,12.5,10.2,3.23,11.22,3.38
2,13.9130611,56.1002762,1382254.2,6220711.4,1,0.98,5,975.55,31.48,511.43,22.8,244.78,15.77,77.19,8.86,67.68,8.29,157.12,12.64,110.92,10.62,143.59,12.08,10.18,3.22,13.41,3.69
3,13.9131102,56.1003137,1382257.4,6220715.5,1,0.99,10,884.28,29.9,520.31,22.94,278.03,16.77,74.32,8.67,87.83,9.42,180.1,13.5,105.88,10.35,125.8,11.28,9.78,3.14,17.27,4.18
4,13.9131583,56.1003514,1382260.5,6220719.6,1,0.99,15,801.75,28.41,528.9,23.07,307.8,17.6,71.94,8.51,105.94,10.33,201,14.22,101.16,10.09,109.61,10.5,9.45,3.08,20.81,4.58
5,13.9131991,56.1003903,1382263.2,6220723.9,1,1,20,782.06,28,535.36,23.17,312.57,17.7,73.03,8.56,109.32,10.47,207.01,14.41,98.76,9.95,104.95,10.26,9.65,3.11,22.03,4.7
6,13.9132265,56.1004315,1382265,6220728.4,1,1,25,879.32,29.66,537.86,23.2,270.81,16.46,80.59,8.98,85.29,9.24,185.27,13.61,100.67,10.04,121.71,11.03,10.84,3.29,18.94,4.35
7,13.9132333,56.1004758,1382265.6,6220733.3,1,1,30,1074.4,32.78,544.19,23.33,188.98,13.75,92.92,9.64,41.29,6.43,143.79,11.99,107.49,10.37,151.46,12.31,15.23,3.9,11.84,3.44
8,13.9132043,56.1005172,1382263.9,6220738,1,1,35,1096.34,33.11,559.37,23.65,230.97,15.2,81.08,9,63.99,8,153.39,12.39,106.26,10.31,132.74,11.52,16.09,4.01,13.83,3.72
9,13.9131405,56.1005432,1382260,6220741,1,1,40,1084.7,32.93,521.68,22.84,234.94,15.33,73.12,8.55,53.71,7.33,135.71,11.65,111.73,10.57,134.6,11.6,14.64,3.83,13.14,3.62
10,13.9130635,56.1005558,1382255.2,6220742.5,1,1,45,1050.67,32.41,523.07,22.87,218.97,14.8,82.11,9.06,39.42,6.28,126.6,11.25,111.64,10.57,165.81,12.88,23.38,4.84,20.52,4.53
11,13.9129847,56.1005657,1382250.4,6220743.8,1,1,50,1003.98,31.69,546.35,23.37,235.18,15.34,87.88,9.37,60.35,7.77,159.08,12.61,113.86,10.67,141.21,11.88,24.17,4.92,10.18,3.19
12,13.9129115,56.1005841,1382245.9,6220745.9,1,1,55,1047.12,32.36,521.17,22.83,204.02,14.28,78.44,8.86,47.16,6.87,129.9,11.4,114.06,10.68,138.64,11.77,12.57,3.54,17.13,4.14
13,13.9128717,56.1006214,1382243.5,6220750.2,1,1,60,1058.12,32.46,560.32,23.62,204.99,14.29,97.01,9.83,65.67,8.09,178.81,13.34,110.1,10.47,150.47,12.24,14.78,3.84,16.08,4
14,13.9128665,56.1006659,1382243.3,6220755.1,1,1.01,65,1016.37,31.66,478.18,21.71,210.37,14.4,87.65,9.3,46.92,6.8,146.42,12.02,93.69,9.61,159.54,12.54,12.75,3.55,10.23,3.18
15,13.9128673,56.1007109,1382243.5,6220760.1,1,0.98,70,1045.69,32.69,562.47,23.98,250.35,16,88.45,9.51,49.81,7.14,142.26,12.06,117.93,10.98,123.64,11.24,15.08,3.93,9.66,3.14
16,13.9128659,56.1007558,1382243.6,6220765.1,1,1,75,1094.23,33.12,567.15,23.85,225.43,15.03,92.2,9.61,53.64,7.33,156.73,12.54,129.02,11.37,156.57,12.53,21.59,4.65,14.6,3.83
17,13.9128708,56.1008006,1382244,6220770.1,1,0.99,80,1114.74,33.49,554.05,23.61,225.65,15.07,87.27,9.37,55.35,7.46,156.12,12.53,112.68,10.65,169.84,13.07,19.29,4.41,13.77,3.72
18,13.9128778,56.1008453,1382244.6,6220775.1,1,0.97,85,1100.87,33.61,551.76,23.79,236.96,15.59,90.17,9.62,56.59,7.62,156.24,12.66,105.79,10.42,155.22,12.62,13.85,3.77,12.43,3.57
19,13.9128821,56.1008902,1382245,6220780.1,1,0.98,90,1067.01,33.08,549.87,23.75,231,15.39,103.77,10.32,57.36,7.67,166.56,13.07,126.16,11.37,141.69,12.05,12.93,3.64,16.01,4.05
20,13.9128863,56.100935,1382245.4,6220785,1,1,95,1035.86,32.23,540.73,23.28,237.34,15.43,98.54,9.94,55.67,7.47,160.82,12.7,140.84,11.88,141.12,11.89,14.46,3.81,19.61,4.43
21,13.9128912,56.1009799,1382245.8,6220790,1,1.02,100,1020.96,31.65,531.02,22.83,251.67,15.72,81.37,8.94,53.17,7.22,144.94,11.93,140.34,11.74,152.33,12.23,15.7,3.93,20,4.43
22,13.9128957,56.1010247,1382246.2,6220795,1,1.01,105,1028.18,31.91,533.62,22.99,250.52,15.75,78.69,8.83,53.38,7.27,142.56,11.88,131.92,11.43,167.06,12.86,14.51,3.79,16.2,4.01
23,13.9128996,56.1010695,1382246.6,6220800,1,0.98,110,1051.73,32.68,545.18,23.53,239.67,15.6,87.71,9.44,56.96,7.61,152.41,12.44,122.83,11.17,177.56,13.43,12.48,3.56,12.43,3.55
24,13.912903,56.1011143,1382247,6220805,1,0.97,115,1079.9,33.32,556.45,23.92,235.21,15.55,94.38,9.85,62.89,8.04,163.05,12.95,119.29,11.07,177.46,13.51,12.45,3.58,14.11,3.81
25,13.9129066,56.1011592,1382247.3,6220810,1,0.98,120,1092.53,33.45,566.03,24.08,236.53,15.56,93.22,9.77,66.81,8.27,165.66,13.02,120.01,11.09,169.52,13.18,14.29,3.83,18.88,4.4
26,13.9129107,56.1012041,1382247.7,6220815,1,0.98,125,1067.27,32.93,575.99,24.19,235.45,15.47,83.27,9.2,63.18,8.01,153.54,12.49,120.15,11.05,160.75,12.78,16.45,4.09,20.92,4.61
27,13.9129147,56.1012489,1382248.1,6220819.9,1,0.99,130,1016.09,32,582.36,24.23,231.07,15.26,70.71,8.44,54.64,7.42,134.49,11.64,116.51,10.84,155.83,12.53,17.53,4.2,19.04,4.38
28,13.9129165,56.1012938,1382248.4,6220824.9,1,1,135,980.54,31.24,576.08,23.94,228.84,15.09,67.78,8.21,50.83,7.11,128.71,11.32,107.34,10.34,157.3,12.51,16.26,4.02,16.11,4
29,13.912916,56.1013387,1382248.5,6220829.9,1,1.02,140,978.16,30.99,558.11,23.41,231.66,15.08,76.49,8.67,54.85,7.34,140.83,11.76,95.99,9.71,163.56,12.67,12.81,3.55,14.18,3.73
30,13.9129164,56.1013835,1382248.6,6220834.9,1,1.02,145,986.96,31.12,545.57,23.14,238.02,15.28,82.37,8.99,59.01,7.61,150.17,12.14,93.67,9.59,166.58,12.79,9.55,3.06,13.77,3.68
31,13.9129199,56.1014284,1382249,6220839.9,1,1,150,989.62,31.46,547.12,23.39,243.89,15.62,76.6,8.75,57.59,7.59,143.22,11.97,105.53,10.27,161.67,12.72,8.59,2.93,14.74,3.84
32,13.912925,56.1014733,1382249.4,6220844.9,1,0.98,155,992.76,31.81,542.45,23.51,238.97,15.61,71.24,8.52,53.58,7.39,134.04,11.69,116.85,10.91,155.55,12.59,10.65,3.3,15.37,3.96
33,13.9129299,56.1015181,1382249.9,6220849.9,1,0.98,160,1003.7,31.96,512.94,22.85,216.06,14.83,78.7,8.95,51.05,7.21,138.14,11.86,113.04,10.72,154.86,12.55,15.62,3.99,14.15,3.79
34,13.9129331,56.101563,1382250.2,6220854.9,1,1,165,1007.26,31.8,483.01,22.02,194.1,13.96,90.14,9.51,51.23,7.17,148.61,12.22,102.85,10.16,152.62,12.38,19.72,4.45,12.88,3.6
35,13.9129338,56.1016078,1382250.4,6220859.9,1,1,170,982.87,31.31,489.92,22.1,199.18,14.09,90.01,9.47,54.1,7.34,151.13,12.28,102.57,10.11,138.26,11.74,18.31,4.27,14.29,3.77
36,13.9129336,56.1016527,1382250.5,6220864.9,1,1,175,951.84,30.83,524.04,22.88,220.3,14.83,80.35,8.96,57.89,7.6,145.93,12.07,110.6,10.51,121.74,11.03,12.96,3.6,17.24,4.15
37,13.9129356,56.1016976,1382250.8,6220869.8,1,1,180,961.36,31.02,544.63,23.35,222.67,14.93,74.97,8.66,59.74,7.73,143.06,11.97,113.48,10.66,125.86,11.22,9.36,3.06,18.07,4.25
38,13.9129401,56.1017424,1382251.2,6220874.8,1,1,185,1000.2,31.63,541.9,23.28,207.98,14.42,76.6,8.75,59.84,7.74,145.22,12.05,109.71,10.48,148.07,12.17,9.27,3.05,16.22,4.03
39,13.912945,56.1017872,1382251.6,6220879.8,1,1,190,1013.34,31.83,530.79,23.04,205.98,14.35,79.26,8.9,60.65,7.79,149.23,12.21,107.16,10.35,166.23,12.89,11.22,3.35,13.58,3.68
40,13.9129489,56.1018321,1382252,6220884.8,1,1,195,997.96,31.59,522.13,22.85,223.38,14.94,80.81,8.99,62.34,7.89,153.03,12.37,107.71,10.38,172.61,13.14,13.71,3.7,11.56,3.4
41,13.9129506,56.101877,1382252.3,6220889.8,1,1,200,998.42,31.6,522.36,22.86,245.74,15.68,82.74,9.1,62.98,7.94,155.66,12.48,107.75,10.38,172.69,13.14,15.34,3.92,11.05,3.32
42,13.9129502,56.1019219,1382252.4,6220894.8,1,1,205,1028.63,32.07,530.48,23.03,260.42,16.14,85.18,9.23,61.76,7.86,156.38,12.51,106.38,10.31,170.24,13.05,15.1,3.89,12.45,3.53
43,13.9129504,56.1019668,1382252.5,6220899.8,1,1,210,1050.6,32.41,533.72,23.1,258.91,16.09,85.93,9.27,59.81,7.73,154.72,12.44,107.31,10.36,165.42,12.86,12.66,3.56,15.33,3.92
44,13.9129527,56.1020117,1382252.8,6220904.8,1,1,215,1037.44,32.21,523.99,22.89,238.81,15.45,83.98,9.16,58.2,7.63,151.05,12.29,112.33,10.6,158.15,12.58,8.68,2.95,18.75,4.33
45,13.9129564,56.1020565,1382253.2,6220909.8,1,1,220,1009.48,31.77,510.29,22.59,214.74,14.65,82.63,9.09,57.18,7.56,148.2,12.17,116.13,10.78,148.6,12.19,6.6,2.57,20.33,4.51
46,13.9129605,56.1021013,1382253.6,6220914.8,1,1,225,993.84,31.53,503.81,22.45,203.05,14.25,85.38,9.24,56.82,7.54,148.97,12.21,113,10.63,137.29,11.72,9.85,3.14,17.79,4.22
47,13.9129643,56.1021462,1382253.9,6220919.7,1,1,230,995.06,31.54,504.07,22.45,203.1,14.25,89.36,9.45,56.29,7.5,150.7,12.28,107.38,10.36,128.65,11.34,16.06,4.01,12.8,3.58
48,13.9129679,56.1021911,1382254.3,6220924.7,1,1,235,1003.31,31.68,503.28,22.43,203.54,14.27,87.61,9.36,54.23,7.36,147.26,12.14,110.11,10.49,129.51,11.38,19.22,4.38,9.51,3.08
49,13.9129714,56.1022359,1382254.7,6220929.7,1,1,240,1008.29,31.75,500.49,22.37,199.07,14.11,78.59,8.87,50.79,7.13,137.56,11.73,122.84,11.08,140.23,11.84,16.98,4.12,9.59,3.1
50,13.912975,56.1022808,1382255,6220934.7,1,1,245,999.23,31.61,507.64,22.53,196,14,70.84,8.42,49,7,129.85,11.39,129.96,11.4,149.16,12.21,13.93,3.73,9.98,3.16
51,13.912979,56.1023256,1382255.4,6220939.7,1,1,250,972.59,31.18,530.78,23.04,198.9,14.1,71.21,8.44,50.69,7.12,130.48,11.42,120.11,10.96,147.51,12.14,13.93,3.73,8.36,2.89
52,13.9129827,56.1023705,1382255.8,6220944.7,1,1,255,950.44,30.83,550.05,23.45,201.72,14.2,76.65,8.75,52.36,7.24,135.35,11.63,103.78,10.19,141.48,11.89,15.52,3.94,6.87,2.62
53,13.9129859,56.1024153,1382256.1,6220949.7,1,1,260,958.36,30.96,542,23.28,196.86,14.03,82.18,9.07,49.74,7.05,138.45,11.77,95.47,9.77,140.03,11.84,16.23,4.03,8.41,2.9
54,13.9129885,56.1024602,1382256.4,6220954.7,1,1,265,990.81,31.49,513.72,22.67,187.98,13.72,86.28,9.29,44.35,6.66,139.62,11.82,98.12,9.91,144.39,12.02,15.67,3.96,12.69,3.56
55,13.9129912,56.1025051,1382256.7,6220959.6,1,1,270,1019.13,31.92,494.97,22.25,187.06,13.68,90.03,9.49,42.01,6.48,143.05,11.96,106.07,10.3,150.04,12.25,15,3.87,17.03,4.13
56,13.9129943,56.1025499,1382257,6220964.6,1,1,275,1022.38,31.94,506.74,22.49,202.13,14.2,93.79,9.67,46.86,6.84,151.33,12.29,114.35,10.68,152.97,12.36,15.05,3.87,19.17,4.37
57,13.9129978,56.1025948,1382257.4,6220969.6,1,1,280,1011.86,31.77,533.81,23.08,225,14.98,94.9,9.73,56.23,7.49,160.5,12.65,121.55,11.01,151.82,12.31,15.22,3.9,18.6,4.31
58,13.9130015,56.1026396,1382257.8,6220974.6,1,1,285,1006.21,31.77,552.56,23.55,243.65,15.64,90.1,9.51,65.76,8.12,165.04,12.87,127.08,11.29,145.94,12.1,14.6,3.83,15.26,3.91
59,13.9130054,56.1026845,1382258.1,6220979.6,1,0.99,290,1006.85,31.95,554.75,23.71,251.59,15.97,81.07,9.06,71.2,8.5,162.89,12.85,129.15,11.44,138.19,11.83,13.41,3.69,10.26,3.23
60,13.913009,56.1027294,1382258.5,6220984.6,1,0.98,295,993.99,31.85,551.03,23.71,249.01,15.94,75.51,8.78,68.4,8.35,156.15,12.62,124.53,11.27,135.7,11.77,13.27,3.68,6.13,2.5
61,13.9130123,56.1027742,1382258.8,6220989.6,1,0.98,300,955.19,31.17,550.28,23.66,237.8,15.55,78.87,8.96,55.79,7.53,147.45,12.25,112.37,10.69,143.16,12.07,15.2,3.93,5.02,2.26
62,13.9130153,56.1028191,1382259.2,6220994.6,1,0.99,305,912.99,30.3,549.61,23.51,224.89,15.04,85.9,9.3,42.2,6.52,140.46,11.89,101.99,10.13,154.38,12.46,17.51,4.2,7.2,2.69
63,13.9130185,56.1028639,1382259.5,6220999.5,1,1.01,310,896.95,29.82,543.46,23.21,218.01,14.7,89.03,9.39,38.4,6.17,138.81,11.73,104.32,10.17,160.88,12.63,17.94,4.22,12.34,3.5
64,13.9130219,56.1029088,1382259.8,6221004.5,1,1.02,315,907.96,29.83,530.77,22.81,217.87,14.61,86.57,9.21,44.64,6.61,141.35,11.77,116.05,10.66,160.86,12.56,16.65,4.04,17.9,4.19
65,13.9130253,56.1029536,1382260.2,6221009.5,1,1.02,320,924.33,30.1,514.02,22.45,219.59,14.67,81.46,8.94,52.84,7.2,143.14,11.85,122.57,10.96,157.89,12.44,15.69,3.92,19.64,4.39
66,13.9130285,56.1029985,1382260.5,6221014.5,1,1,325,930.92,30.46,497.18,22.26,219.37,14.79,76.39,8.73,56.6,7.51,140.67,11.84,113.85,10.65,154.9,12.43,16.54,4.06,15.12,3.88
67,13.9130316,56.1030434,1382260.9,6221019.5,1,0.98,330,942.86,30.95,490.14,22.32,218.39,14.9,72.52,8.58,57.63,7.65,136.73,11.79,100.29,10.1,151.68,12.41,18.01,4.28,9.82,3.16
68,13.9130345,56.1030882,1382261.2,6221024.5,1,0.98,335,980.72,31.62,502.91,22.65,219.16,14.95,70.57,8.48,59.46,7.79,135.56,11.76,96.75,9.93,147.27,12.25,18.35,4.33,10.78,3.32
69,13.9130378,56.1031331,1382261.5,6221029.5,1,0.99,340,1023.92,32.13,523.25,22.97,223.49,15.01,70.76,8.45,61.5,7.87,137.46,11.77,103.18,10.2,142.1,11.97,17.52,4.2,16.56,4.09
70,13.9130426,56.1031779,1382262,6221034.5,1,1,345,1019.41,31.89,521.25,22.8,232.58,15.23,72.93,8.53,59.82,7.73,139.57,11.8,107.49,10.36,137.77,11.72,16.88,4.1,18.94,4.35
71,13.9130481,56.1032227,1382262.4,6221039.4,1,1,350,977.7,31.22,499.49,22.32,243.15,15.57,77.27,8.78,55.04,7.41,142.16,11.91,104.7,10.22,137.3,11.7,16.41,4.05,15.69,3.96
72,13.9130513,56.1032675,1382262.8,6221044.4,1,1,355,1008.09,31.78,511.15,22.63,245.16,15.67,84.54,9.2,54.88,7.41,150.34,12.27,101.33,10.07,145.77,12.08,13.91,3.73,14.18,3.77
73,13.9130509,56.1033124,1382262.9,6221049.4,1,1,360,1111.58,33.4,560.71,23.73,240.73,15.55,91.63,9.59,59.43,7.72,159.79,12.67,100.3,10.03,159.28,12.65,10.57,3.26,17.34,4.17
74,13.9130491,56.1033574,1382262.9,6221054.4,1,1.01,365,1100.43,33.06,566.8,23.73,252.22,15.83,89.29,9.42,55.56,7.43,150.62,12.23,97.27,9.83,159.4,12.58,13.34,3.64,19.4,4.39
75,13.9130489,56.1034023,1382263,6221059.4,1,1.02,370,994.81,31.23,539.83,23,270.45,16.28,78.08,8.75,48.9,6.92,131.62,11.36,102.44,10.02,148.94,12.08,19.93,4.42,17.52,4.14
76,13.9130532,56.1034471,1382263.4,6221064.4,1,1.01,375,1034.19,32.02,584.4,24.07,257.81,15.99,70.48,8.36,61.19,7.79,138.78,11.73,134.57,11.55,151.23,12.24,18.96,4.34,13.76,3.69
77,13.9130626,56.1034917,1382264.2,6221069.4,1,1,380,1121.87,33.53,631.82,25.16,257.64,16.07,77.89,8.83,59.46,7.72,147.5,12.16,141.51,11.91,145.75,12.08,16.49,4.07,14.09,3.76
78,13.9130661,56.1035366,1382264.5,6221074.3,1,1,385,1166.79,34.15,604.08,24.57,254,15.93,106.78,10.33,55.23,7.43,173.22,13.16,125.97,11.22,167.73,12.95,15.51,3.94,20.41,4.52
79,13.9130757,56.1035809,1382265.2,6221079.3,1,1,390,1195.77,34.58,668.17,25.85,269.01,16.4,81.83,9.05,62.9,7.93,158.73,12.6,130.09,11.41,173.73,13.18,32.34,5.69,11.66,3.42
80,13.9130933,56.1036248,1382266.5,6221084.1,1,1,395,1075.86,32.83,638.64,25.29,231.44,15.23,83.61,9.15,62.95,7.94,156.22,12.51,91.37,9.57,180.88,13.46,17.34,4.17,14.62,3.83
81,13.9131012,56.1036694,1382267.1,6221089.1,1,0.98,400,1101.44,33.51,615.38,25.05,255.67,16.14,79.59,9.01,69.23,8.4,158.37,12.71,137.64,11.84,163.1,12.89,10.84,3.32,18.33,4.32
82,13.9131111,56.103714,1382267.9,6221094,1,1,405,1071.1,32.68,548.15,23.38,235.18,15.31,77.12,8.77,46.38,6.8,134.14,11.56,136.17,11.65,178.33,13.33,17.68,4.2,15.3,3.91
83,13.9131165,56.1037587,1382268.3,6221099,1,1,410,1080.78,32.88,511.21,22.62,234.14,15.31,80.37,8.97,51.59,7.18,138.63,11.78,105.12,10.26,140.49,11.86,15.9,3.99,14.01,3.74
84,13.913117,56.1038037,1382268.5,6221104,1,1,415,1048.16,32.38,544,23.32,218.18,14.77,80.15,8.95,53.92,7.34,140.03,11.83,89.01,9.43,151.87,12.32,16.04,4.01,14.98,3.87
85,13.9131176,56.1038486,1382268.7,6221109,1,1,420,992.66,31.48,498.32,22.3,223.12,14.92,70.96,8.42,60.41,7.77,139.96,11.82,98.36,9.91,140.04,11.82,11.76,3.43,15.76,3.97
86,13.9131149,56.1038934,1382268.6,6221114,1,0.99,425,966.2,31.22,481.38,22.03,226.53,15.11,81.28,9.05,61.75,7.89,150.98,12.34,98.69,9.98,145.07,12.1,12.69,3.58,16.58,4.09
87,13.9131088,56.1039382,1382268.4,6221119,1,0.98,430,978.99,31.61,513.73,22.9,219.26,14.96,101.2,10.16,56.01,7.56,162.29,12.87,89.73,9.57,166.52,13.04,16.34,4.08,16.3,4.08
88,13.9131025,56.103983,1382268.1,6221124,1,0.99,435,1011.04,32.03,526.02,23.11,212.21,14.68,100.45,10.1,50.54,7.16,156.1,12.59,92.79,9.7,165.35,12.95,12.89,3.62,13.61,3.72
89,13.9130995,56.1040279,1382268.1,6221129,1,1,440,1032.86,32.14,515.42,22.71,209.01,14.46,87.32,9.35,51.83,7.2,146.11,12.09,101.82,10.09,158,12.57,8.05,2.84,11.99,3.46
90,13.913102,56.1040727,1382268.4,6221134,1,1.01,445,1022.03,31.79,495.88,22.14,210.97,14.44,76.58,8.7,62.54,7.86,147.51,12.08,107.06,10.29,164.89,12.77,9.04,2.99,14.39,3.77
91,13.9131075,56.1041176,1382268.9,6221139,1,1.02,450,995.81,31.25,483.5,21.78,217.1,14.59,70.82,8.33,69.69,8.27,149.34,12.1,111.34,10.45,165.69,12.75,13.42,3.63,16.67,4.04
92,13.9131128,56.1041624,1382269.3,6221143.9,1,1.02,455,978.15,30.89,490.69,21.88,225.06,14.82,69.61,8.24,60.69,7.69,138.63,11.63,118.44,10.75,139,11.65,16.81,4.05,14.18,3.72
93,13.9131161,56.1042073,1382269.7,6221148.9,1,1.02,460,973.34,30.87,508.69,22.32,228.64,14.96,73.65,8.49,45.51,6.67,127,11.15,120.28,10.85,112.01,10.47,17.73,4.17,9.33,3.02
94,13.9131163,56.1042521,1382269.8,6221153.9,1,1,465,978.43,31.23,523.39,22.84,222.64,14.9,82.91,9.09,38.69,6.21,129.84,11.38,108.5,10.4,117.99,10.84,16.01,3.99,6.17,2.48
95,13.9131159,56.104297,1382269.9,6221158.9,1,0.98,470,983.89,31.63,527.52,23.16,214.46,14.77,90.93,9.61,41.33,6.48,140.72,11.96,94.17,9.78,139.87,11.92,13.7,3.73,5.68,2.4
96,13.9131177,56.1043419,1382270.2,6221163.9,1,0.98,475,978.83,31.6,517.13,22.97,214.81,14.8,89.76,9.57,49.67,7.12,146.41,12.22,93.7,9.78,145.14,12.17,13.42,3.7,7.63,2.79
97,13.9131219,56.1043868,1382270.6,6221168.9,1,0.99,480,964.71,31.2,499.37,22.45,219.76,14.89,80.92,9.04,58.58,7.69,144.48,12.07,104.62,10.27,131.57,11.52,14.95,3.88,10.85,3.31
98,13.9131262,56.1044316,1382271,6221173.9,1,1,485,951.48,30.82,488.96,22.09,215.45,14.67,72.45,8.5,62.01,7.87,139.97,11.82,111.45,10.55,117.66,10.84,16.13,4.01,13.47,3.67
99,13.9131294,56.1044765,1382271.3,6221178.9,1,1,490,945.9,30.71,492.83,22.17,198.32,14.06,69.13,8.3,57.55,7.57,136.17,11.65,107.41,10.35,115.45,10.73,15.83,3.97,14.26,3.77
100,13.9131323,56.1045213,1382271.6,6221183.9,1,1,495,947.95,30.78,501.78,22.4,186.12,13.64,68.93,8.3,50.14,7.08,132.64,11.51,103.65,10.18,123,11.09,15.08,3.88,13.32,3.65
101,13.9131359,56.1045662,1382272,6221188.8,1,1,500,955.11,30.92,506.24,22.51,195.37,13.98,69.14,8.32,45.11,6.72,128.78,11.35,110.75,10.53,136.13,11.67,15.02,3.88,10.96,3.31
102,13.9131403,56.104611,1382272.4,6221193.8,1,1,505,953.58,30.88,507.28,22.53,217,14.73,68.1,8.25,44.64,6.68,126.15,11.23,120.71,10.99,146.68,12.11,15.65,3.96,8.08,2.84
103,13.9131456,56.1046559,1382272.9,6221198.8,1,1,510,927.14,30.45,510.18,22.58,232.24,15.24,64.72,8.04,49.34,7.02,126.94,11.27,118.95,10.91,145.78,12.07,16.48,4.06,5.79,2.41
104,13.9131518,56.1047006,1382273.4,6221203.8,1,1,515,895.5,29.92,517.71,22.75,235.06,15.33,60.52,7.78,55.34,7.44,129.35,11.37,107.07,10.35,138.43,11.76,16.8,4.1,4.74,2.18
105,13.9131594,56.1047453,1382274,6221208.7,1,1,520,907.05,30.12,530.59,23.03,229.71,15.16,59.11,7.69,55.24,7.43,128.39,11.33,99.69,9.98,140.76,11.86,15.67,3.96,5.2,2.28
106,13.9131677,56.10479,1382274.7,6221213.7,1,1,525,976.74,31.25,545.94,23.37,221.53,14.88,62.21,7.89,46.71,6.83,122.39,11.06,104.98,10.25,158.57,12.59,13.49,3.67,7.29,2.7
107,13.9131752,56.1048347,1382275.3,6221218.7,1,1,530,1036.33,32.19,552.22,23.5,217.89,14.76,66.74,8.17,40.08,6.33,118.04,10.86,114.47,10.7,171.86,13.11,13.79,3.71,10.73,3.27
108,13.9131801,56.1048795,1382275.7,6221223.6,1,1,535,1026.46,32.04,542.49,23.29,223.44,14.95,69.95,8.36,44.19,6.65,121.53,11.02,118.86,10.9,163.44,12.78,19.01,4.36,14.81,3.85
109,13.9131835,56.1049244,1382276.1,6221228.6,1,1,540,992.04,31.5,538.68,23.21,228.16,15.1,74.26,8.62,51.52,7.18,130.79,11.44,116.63,10.8,148.9,12.2,23.82,4.88,17.01,4.12
110,13.9131872,56.1049692,1382276.4,6221233.6,1,1,545,996.81,31.58,562.45,23.72,221.28,14.88,82.35,9.08,51.95,7.21,141.29,11.89,109.23,10.45,148.83,12.2,22.43,4.74,14.99,3.87
111,13.9131915,56.105014,1382276.8,6221238.6,1,1,550,1030.33,32.1,583.97,24.17,213.21,14.6,89.44,9.46,49.17,7.01,149.2,12.22,101.03,10.05,155.49,12.47,19.91,4.46,10.68,3.27
112,13.9131961,56.1050588,1382277.3,6221243.6,1,1,555,1059.05,32.51,565.54,23.76,217.81,14.74,89.67,9.46,50.58,7.1,151.9,12.31,97.56,9.87,153.83,12.39,23.35,4.83,7.42,2.72
113,13.9131995,56.1051037,1382277.6,6221248.6,1,1,560,1068.02,32.68,536.1,23.15,223.01,14.93,87.01,9.33,55.96,7.48,152.99,12.37,104.91,10.24,146.05,12.08,27.99,5.29,7.98,2.82
114,13.9132002,56.1051486,1382277.8,6221253.6,1,0.99,565,1054.46,32.66,537.21,23.31,213.83,14.71,87.3,9.4,62,7.92,156.64,12.59,124.73,11.23,139.93,11.9,26.53,5.18,13.13,3.64
115,13.9131998,56.1051935,1382277.9,6221258.6,1,0.98,570,1034.43,32.49,552.5,23.74,206.05,14.5,87.81,9.47,65.28,8.16,159.18,12.74,139.59,11.93,137.75,11.86,20.73,4.6,16.37,4.09
116,13.9131999,56.1052384,1382278,6221263.6,1,0.99,575,1024.01,32.22,555.08,23.72,216.06,14.8,84.97,9.28,63.38,8.02,156.37,12.59,133.63,11.64,140,11.91,14.51,3.84,12.16,3.51
117,13.9132001,56.1052833,1382278.2,6221268.6,1,1,580,1016.89,31.9,537.56,23.2,226.89,15.07,81.23,9.02,58.46,7.65,150.52,12.27,120.72,10.99,145.43,12.07,11.07,3.33,7.99,2.83
118,13.9131997,56.1053282,1382278.3,6221273.6,1,1.01,585,1001.02,31.55,502.92,22.36,217.99,14.72,80.08,8.92,53.51,7.29,145.1,12.01,118.77,10.87,151.05,12.26,12.37,3.51,11.97,3.45
119,13.9131992,56.1053731,1382278.4,6221278.6,1,1,590,967.72,31.12,478.55,21.88,200.19,14.15,81.08,9.01,48.75,6.98,139.69,11.82,122.09,11.05,147.4,12.15,15.1,3.89,16,4
120,13.9131994,56.105418,1382278.6,6221283.6,1,0.98,595,923.22,30.65,490.55,22.34,191.03,13.94,82.31,9.15,43.76,6.67,133.34,11.65,120,11.05,130.93,11.54,15.63,3.99,11.73,3.46
121,13.9132001,56.1054628,1382278.7,6221288.5,1,0.98,600,920.91,30.61,533.34,23.3,196.03,14.12,81.08,9.08,38.92,6.29,127.63,11.4,111.08,10.63,125.69,11.31,15.28,3.94,8.08,2.87
122,13.9132008,56.1055078,1382278.9,6221293.5,1,1.01,605,969.54,31.01,574.82,23.88,208.51,14.38,76.8,8.73,36.23,5.99,124.72,11.12,98.9,9.9,141.21,11.83,15.01,3.86,11.15,3.33
123,13.9132003,56.1055527,1382279,6221298.6,1,1.02,610,954.29,30.59,539.12,23,200.11,14.01,74.05,8.52,40.85,6.33,126.81,11.15,93.86,9.59,140.83,11.75,12.53,3.51,12.34,3.48
