SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11555,14.0236954,55.806831,1388295.5,6187861.3,1,0.98,57770,841.22,29.24,447.95,21.34,170.98,13.18,70.08,8.44,47.66,6.96,126.39,11.33,94.38,9.79,116.62,10.89,11.96,3.49,9.69,3.14
11556,14.0237461,55.8067963,1388298.5,6187857.4,1,0.99,57775,849.28,29.22,498.25,22.38,171.34,13.12,73.94,8.62,43.88,6.64,127.64,11.33,103.75,10.21,107.2,10.38,9.47,3.08,10.03,3.17
11557,14.0237972,55.8067619,1388301.6,6187853.4,1,1,57780,845.86,29.08,505.64,22.48,175.76,13.26,74.55,8.63,38.29,6.19,122.7,11.08,103.56,10.18,99.14,9.96,9.42,3.07,9.91,3.15
11558,14.0238484,55.8067274,1388304.7,6187849.5,1,0.99,57785,832.62,28.94,459.27,21.49,184.4,13.62,69.81,8.38,31.87,5.66,110.25,10.53,91.81,9.61,94.73,9.76,12.97,3.61,9.31,3.06
11559,14.0238987,55.8066926,1388307.8,6187845.6,1,0.98,57790,817.53,28.83,402.47,20.23,191.72,13.96,63.81,8.06,28.34,5.37,98.91,10.03,78.53,8.94,94.16,9.78,16.7,4.12,8.47,2.93
11560,14.0239474,55.8066571,1388310.8,6187841.5,1,0.98,57795,808.78,28.79,381.15,19.76,192.07,14.03,61.01,7.91,31.32,5.66,97.59,10,74.16,8.72,97.28,9.98,17.02,4.18,7.68,2.81
11561,14.023995,55.806621,1388313.6,6187837.4,1,0.97,57800,807.83,28.79,398.48,20.22,186.21,13.82,61.86,7.97,38.91,6.32,105.34,10.4,78.21,8.96,102.4,10.25,14.06,3.8,7.16,2.71
11562,14.0240426,55.8065851,1388316.5,6187833.4,1,0.98,57805,811.44,28.79,427.62,20.9,179.41,13.54,63.99,8.08,45.37,6.81,114.28,10.8,82.5,9.18,106.7,10.44,10.62,3.29,7.1,2.69
11563,14.0240915,55.8065496,1388319.5,6187829.3,1,0.99,57810,816.29,28.76,444.38,21.22,176.2,13.36,65.26,8.13,45.86,6.82,117.51,10.91,80.2,9.01,107.85,10.45,9.17,3.05,7.59,2.77
11564,14.0241413,55.8065146,1388322.5,6187825.4,1,1,57815,819.22,28.69,446.41,21.18,175.75,13.29,65.42,8.11,42.01,6.5,115.58,10.78,74.57,8.66,106.62,10.35,9.89,3.15,8.37,2.9
11565,14.0241913,55.8064796,1388325.5,6187821.4,1,1,57820,817.12,28.59,440.17,20.98,175.04,13.23,65.01,8.06,38.05,6.17,112.06,10.59,72.94,8.54,105.02,10.25,11.95,3.46,8.99,3
11566,14.0242408,55.8064443,1388328.5,6187817.4,1,1,57825,808.15,28.47,431.62,20.8,172.16,13.14,64.46,8.04,37.23,6.11,109.81,10.49,80.28,8.97,104.73,10.25,14.53,3.82,9.15,3.03
11567,14.0242898,55.8064089,1388331.5,6187813.4,1,0.99,57830,795.88,28.36,424.59,20.71,170.05,13.11,63.89,8.03,38.53,6.24,108.58,10.47,91.49,9.61,105.83,10.34,16.68,4.1,9.08,3.03
11568,14.0243385,55.8063734,1388334.5,6187809.3,1,0.98,57835,785.31,28.3,422.33,20.75,172.9,13.28,63.32,8.04,39.77,6.37,107.28,10.46,98.8,10.04,107.96,10.49,17.38,4.21,9.16,3.06
11569,14.0243871,55.8063378,1388337.4,6187805.3,1,0.97,57840,780.8,28.32,426.96,20.94,183.38,13.72,62.83,8.03,39.33,6.36,105.28,10.4,96.35,9.95,110.62,10.66,15.99,4.05,9.61,3.14
11570,14.0244358,55.8063022,1388340.4,6187801.2,1,0.97,57845,783.4,28.39,434.85,21.15,196.27,14.21,62.89,8.04,38.28,6.28,104.23,10.36,88.08,9.52,112.62,10.76,13.48,3.72,9.93,3.2
11571,14.0244846,55.8062667,1388343.3,6187797.2,1,0.98,57850,793.14,28.47,440.53,21.22,203.88,14.44,64.04,8.09,38.55,6.28,106.49,10.43,81.06,9.1,112.48,10.72,11.38,3.41,9.36,3.09
11572,14.0245337,55.8062314,1388346.3,6187793.2,1,0.99,57855,809.39,28.53,439.72,21.03,200.3,14.19,66.65,8.19,41.56,6.46,113.65,10.69,81.07,9.03,109.24,10.48,10.94,3.32,7.45,2.74
11573,14.0245829,55.806196,1388349.3,6187789.2,1,1.01,57860,827.9,28.6,435,20.73,190.17,13.71,70.03,8.32,45.64,6.71,122.69,11.01,86.51,9.24,104.59,10.16,11.9,3.43,5.51,2.33
11574,14.0246318,55.8061606,1388352.2,6187785.2,1,1.02,57865,843.07,28.74,431.48,20.56,182,13.35,73.08,8.46,48.01,6.86,128.93,11.24,93.1,9.55,101.24,9.96,13.44,3.63,5.51,2.32
11575,14.0246802,55.8061249,1388355.2,6187781.1,1,1.01,57870,850.28,29.02,433.47,20.72,182.86,13.46,74.81,8.61,46.4,6.78,128.46,11.28,96.93,9.8,101.48,10.03,14.8,3.83,8.92,2.97
11576,14.0247285,55.8060891,1388358.1,6187777,1,0.99,57875,851.88,29.38,439.57,21.11,189.67,13.87,75.02,8.72,42.18,6.54,122.98,11.16,96.96,9.91,104.64,10.3,15.64,3.98,13.98,3.76
11577,14.0247771,55.8060535,1388361,6187773,1,0.97,57880,853.23,29.73,445.97,21.49,194.93,14.21,73.86,8.75,38.32,6.3,116.63,10.99,93.37,9.83,108.76,10.61,15.8,4.05,17.49,4.26
11578,14.0248268,55.8060184,1388364.1,6187769,1,0.96,57885,859.42,29.94,448.96,21.64,191.57,14.13,71.48,8.63,37.65,6.27,113.35,10.87,86.46,9.5,111.98,10.81,15.17,3.98,16.46,4.14
11579,14.0248775,55.8059838,1388367.1,6187765.1,1,0.97,57890,869.93,29.96,448.03,21.5,180.52,13.65,68.4,8.4,40,6.42,113.53,10.82,78.11,8.98,113.94,10.84,13.94,3.79,11.72,3.48
11580,14.0249289,55.8059495,1388370.3,6187761.2,1,0.99,57895,879.3,29.83,445.39,21.23,169.8,13.11,65.4,8.13,42.56,6.56,114.36,10.76,71.61,8.51,115.67,10.82,12.61,3.57,7.49,2.75
