,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
14433,14434,13.8642547,56.1103384,1379249.1,6221915.9,1.0,1.0,72165,863.41,29.38,486.31,22.05,199.34,14.12,70.48,8.39,49.89,7.06,124.11,11.14,83.47,9.14,107.63,10.37,17.96,4.24,13.05,3.61
14434,14435,13.8643116,56.1103067,1379252.6,6221912.3,1.0,1.0,72170,854.68,29.23,474.17,21.77,190.35,13.8,72.01,8.49,48.12,6.94,123.29,11.1,81.03,9.0,111.01,10.54,20.26,4.5,10.91,3.3
14435,14436,13.8643682,56.1102749,1379256.0,6221908.6,1.0,1.0,72175,844.39,29.06,464.01,21.54,181.91,13.49,73.77,8.59,46.24,6.8,122.99,11.09,80.82,8.99,114.56,10.7,21.88,4.68,9.16,3.03
14436,14437,13.8644248,56.1102429,1379259.4,6221905.0,1.0,1.0,72180,832.26,28.85,457.44,21.39,175.52,13.25,75.68,8.7,44.23,6.65,123.33,11.11,83.62,9.15,118.07,10.87,22.26,4.72,8.2,2.86
14437,14438,13.8644815,56.1102111,1379262.8,6221901.4,1.0,1.0,72185,819.57,28.63,454.38,21.32,171.69,13.11,77.41,8.8,42.3,6.51,124.06,11.14,88.5,9.41,120.94,11.0,21.68,4.66,8.01,2.83
14438,14439,13.8645387,56.1101796,1379266.3,6221897.7,1.0,1.0,72190,808.14,28.43,454.15,21.31,170.59,13.06,78.54,8.86,40.79,6.39,124.79,11.17,93.94,9.69,122.43,11.07,20.75,4.56,8.43,2.9
14439,14440,13.8645966,56.1101485,1379269.8,6221894.2,1.0,1.0,72195,799.81,28.28,456.05,21.36,172.38,13.13,78.64,8.87,39.99,6.32,125.14,11.19,98.4,9.92,121.79,11.04,20.05,4.48,9.3,3.05
14440,14441,13.8646556,56.110118,1379273.4,6221890.7,1.0,1.0,72200,796.37,28.22,459.4,21.43,177.19,13.31,77.3,8.79,40.23,6.34,124.74,11.17,100.37,10.02,118.31,10.88,20.18,4.49,10.47,3.24
14441,14442,13.8647155,56.1100881,1379277.0,6221887.2,1.0,1.0,72205,798.14,28.24,463.61,21.52,184.55,13.58,74.62,8.63,41.51,6.44,123.57,11.11,99.43,9.97,112.31,10.59,21.23,4.61,11.77,3.43
14442,14443,13.8647759,56.1100584,1379280.7,6221883.8,1.0,1.0,72210,803.47,28.33,468.21,21.63,193.16,13.89,71.33,8.44,43.47,6.59,122.18,11.05,96.64,9.83,105.53,10.27,22.63,4.75,13.06,3.61
14443,14444,13.8648361,56.1100287,1379284.3,6221880.4,1.0,1.0,72215,810.53,28.45,472.73,21.73,201.62,14.19,68.22,8.26,45.72,6.76,121.12,11.0,93.17,9.65,99.83,9.99,23.78,4.87,14.17,3.76
14444,14445,13.8648957,56.1099986,1379287.9,6221877.0,1.0,1.0,72220,817.52,28.59,476.73,21.83,208.57,14.44,66.1,8.13,47.85,6.92,120.96,11.0,90.18,9.5,97.04,9.85,24.03,4.9,14.96,3.87
14445,14446,13.8649541,56.1099678,1379291.5,6221873.4,1.0,1.0,72225,822.78,28.71,479.65,21.92,212.8,14.6,65.57,8.1,49.55,7.05,122.11,11.06,88.61,9.42,98.54,9.94,22.95,4.8,15.3,3.92
14446,14447,13.8650116,56.1099365,1379294.9,6221869.9,1.0,1.0,72230,825.45,28.78,480.57,21.96,214.02,14.66,66.33,8.16,50.82,7.14,124.29,11.17,88.25,9.41,103.3,10.18,20.87,4.58,15.31,3.92
14447,14448,13.8650684,56.1099048,1379298.4,6221866.2,1.0,1.0,72235,824.93,28.79,478.41,21.92,212.2,14.6,67.78,8.25,51.79,7.21,126.97,11.29,88.56,9.43,109.52,10.49,18.37,4.3,15.16,3.9
14448,14449,13.8651249,56.1098728,1379301.8,6221862.6,1.0,1.0,72240,820.59,28.68,472.1,21.76,207.32,14.42,69.3,8.34,52.57,7.26,129.64,11.4,88.95,9.44,115.41,10.76,16.05,4.01,15.01,3.88
14449,14450,13.8651813,56.1098408,1379305.2,6221858.9,1.0,1.0,72245,811.89,28.46,460.64,21.43,199.4,14.1,70.32,8.37,53.29,7.29,131.78,11.46,88.89,9.42,119.2,10.9,14.49,3.8,15.04,3.87
14450,14451,13.8652379,56.1098089,1379308.6,6221855.3,1.0,1.01,72250,800.04,28.13,445.01,20.98,189.47,13.69,70.67,8.36,53.82,7.3,133.06,11.47,88.18,9.34,120.25,10.91,13.96,3.72,15.26,3.88
14451,14452,13.8652949,56.1097773,1379312.1,6221851.6,1.0,1.02,72255,788.51,27.82,428.73,20.51,179.87,13.29,70.71,8.33,53.78,7.26,133.36,11.44,87.13,9.25,119.31,10.82,14.37,3.76,15.44,3.89
14452,14453,13.8653525,56.1097459,1379315.6,6221848.0,1.0,1.02,72260,780.93,27.62,415.48,20.15,173.03,13.0,70.84,8.32,52.74,7.18,132.58,11.38,86.07,9.17,117.24,10.7,15.58,3.9,15.36,3.87
14453,14454,13.8654109,56.1097151,1379319.1,6221844.5,1.0,1.02,72265,780.89,27.66,408.95,20.02,171.39,12.96,71.48,8.37,50.3,7.02,130.62,11.31,85.33,9.14,114.9,10.61,17.46,4.14,14.79,3.81
14454,14455,13.8654702,56.1096848,1379322.7,6221841.0,1.0,1.01,72270,790.87,28.0,411.88,20.21,176.59,13.23,72.92,8.5,46.22,6.77,127.52,11.24,85.17,9.19,113.0,10.58,19.83,4.43,13.6,3.67
14455,14456,13.8655301,56.1096549,1379326.3,6221837.6,1.0,0.99,72275,807.24,28.54,422.16,20.64,186.28,13.71,75.03,8.7,41.35,6.46,124.01,11.19,85.59,9.29,111.62,10.61,22.25,4.74,12.05,3.49
14456,14457,13.8655904,56.1096252,1379330.0,6221834.2,1.0,0.97,72280,824.42,29.1,436.1,21.16,196.82,14.22,77.48,8.92,36.85,6.15,121.05,11.15,86.48,9.42,110.6,10.66,24.18,4.98,10.57,3.29
14457,14458,13.8656506,56.1095954,1379333.6,6221830.8,1.0,0.96,72285,836.83,29.49,450.01,21.63,204.54,14.58,79.98,9.12,33.88,5.93,119.6,11.15,87.74,9.55,109.78,10.68,25.11,5.11,9.57,3.15
14458,14459,13.8657105,56.1095655,1379337.3,6221827.3,1.0,0.96,72290,839.05,29.54,460.26,21.88,205.9,14.63,82.22,9.25,33.58,5.91,120.58,11.2,89.26,9.64,109.05,10.65,24.52,5.05,9.46,3.14
14459,14460,13.8657699,56.1095352,1379340.9,6221823.9,1.0,0.97,72295,830.73,29.23,464.97,21.87,200.72,14.37,83.84,9.29,35.95,6.08,123.74,11.28,90.95,9.67,108.49,10.56,22.5,4.81,10.32,3.26
14460,14461,13.8658289,56.1095048,1379344.4,6221820.4,1.0,0.99,72300,817.19,28.74,464.22,21.66,192.56,13.95,84.46,9.24,39.72,6.34,127.5,11.35,92.73,9.68,108.52,10.47,19.81,4.47,11.86,3.46
14461,14462,13.8658878,56.1094742,1379348.0,6221816.9,1.0,1.01,72305,804.03,28.25,458.2,21.32,185.19,13.56,83.68,9.11,43.58,6.58,130.22,11.37,94.51,9.68,109.55,10.43,17.25,4.14,13.8,3.7
14462,14463,13.8659466,56.1094436,1379351.6,6221813.3,1.0,1.02,72310,796.86,27.94,447.08,20.93,182.38,13.37,81.12,8.91,46.2,6.73,130.27,11.3,96.2,9.71,111.99,10.47,15.62,3.91,15.83,3.94
14463,14464,13.8660054,56.109413,1379355.1,6221809.8,1.0,1.02,72315,799.16,27.92,431.98,20.53,186.4,13.49,76.71,8.65,46.68,6.75,126.73,11.12,97.7,9.76,115.91,10.63,15.45,3.88,17.68,4.15
14464,14465,13.8660643,56.1093825,1379358.7,6221806.3,1.0,1.02,72320,807.47,28.11,417.03,20.2,194.7,13.8,71.47,8.36,45.53,6.68,121.03,10.88,98.83,9.83,120.26,10.85,16.39,4.0,19.14,4.33
14465,14466,13.8661232,56.109352,1379362.3,6221802.8,1.0,1.01,72325,816.93,28.39,406.98,20.04,203.79,14.18,66.64,8.11,43.54,6.55,115.05,10.65,99.4,9.9,123.78,11.05,17.93,4.21,20.02,4.44
14466,14467,13.8661822,56.1093215,1379365.8,6221799.3,1.0,1.0,72330,822.71,28.64,406.56,20.13,210.15,14.47,63.45,7.95,41.5,6.43,110.7,10.5,99.23,9.95,125.18,11.17,19.57,4.42,20.14,4.48
14467,14468,13.8662413,56.109291,1379369.4,6221795.8,1.0,0.99,72335,820.45,28.75,419.77,20.56,210.64,14.57,63.0,7.97,40.16,6.36,109.7,10.51,98.15,9.94,123.39,11.15,20.81,4.58,19.34,4.41
14468,14469,13.8663003,56.1092606,1379373.0,6221792.4,1.0,0.98,72340,810.92,28.71,443.13,21.22,205.81,14.46,65.03,8.13,39.85,6.36,112.08,10.67,96.39,9.9,119.33,11.01,21.48,4.67,17.76,4.25
14469,14470,13.8663594,56.1092301,1379376.6,6221788.9,1.0,0.98,72345,797.87,28.56,468.74,21.89,198.4,14.24,68.48,8.37,40.68,6.45,116.86,10.93,94.41,9.82,115.07,10.84,21.57,4.7,15.73,4.01
14470,14471,13.8664186,56.1091997,1379380.2,6221785.4,1.0,0.98,72350,785.13,28.34,488.66,22.36,191.17,13.99,72.26,8.6,42.74,6.61,123.04,11.22,92.66,9.74,112.71,10.74,21.08,4.64,13.59,3.73
14471,14472,13.8664778,56.1091694,1379383.7,6221781.9,1.0,0.98,72355,776.47,28.12,495.02,22.45,186.86,13.79,75.33,8.76,46.12,6.85,129.64,11.49,91.6,9.66,114.33,10.79,20.0,4.51,11.67,3.45
14472,14473,13.866537,56.1091391,1379387.3,6221778.4,1.0,0.99,72360,773.95,27.92,485.47,22.11,186.63,13.71,77.13,8.81,50.43,7.13,135.74,11.69,91.45,9.6,120.34,11.01,18.45,4.31,10.21,3.21
14473,14474,13.8665961,56.1091087,1379390.9,6221774.9,1.0,1.0,72365,776.89,27.8,466.56,21.55,189.13,13.72,77.98,8.81,54.5,7.36,140.56,11.83,92.08,9.57,128.46,11.31,16.7,4.08,9.33,3.05
14474,14475,13.8666549,56.1090781,1379394.5,6221771.4,1.0,1.02,72370,784.35,27.79,445.61,20.95,192.77,13.78,78.28,8.78,57.09,7.5,143.32,11.88,93.31,9.59,136.2,11.58,15.05,3.85,9.14,3
14475,14476,13.8667133,56.1090473,1379398.0,6221767.9,1.0,1.02,72375,795.39,27.93,429.97,20.53,195.95,13.86,78.42,8.77,56.97,7.47,143.24,11.85,95.0,9.65,141.05,11.76,13.78,3.68,9.74,3.09
14476,14477,13.8667712,56.1090162,1379401.5,6221764.3,1.0,1.02,72380,808.76,28.21,425.37,20.46,197.47,13.94,78.7,8.8,53.33,7.24,139.87,11.73,96.94,9.77,141.06,11.78,13.14,3.6,11.15,3.31
14477,14478,13.8668286,56.1089848,1379405.0,6221760.7,1.0,1.01,72385,821.75,28.58,429.95,20.67,197.93,14.02,79.02,8.86,47.35,6.86,134.21,11.55,98.82,9.91,137.04,11.67,13.05,3.6,12.93,3.58
