,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
14478,14479,13.8668858,56.1089533,1379408.4,6221757.1,1.0,0.99,72390,831.23,28.92,439.62,21.03,198.46,14.13,79.17,8.92,40.8,6.41,127.72,11.33,100.31,10.04,130.57,11.46,13.37,3.67,14.52,3.82
14479,14480,13.8669429,56.1089216,1379411.9,6221753.5,1.0,0.98,72395,834.06,29.12,450.29,21.4,200.17,14.26,78.94,8.96,35.46,6.0,121.84,11.13,101.05,10.14,123.23,11.19,13.93,3.76,15.37,3.95
14480,14481,13.8669999,56.10889,1379415.3,6221749.9,1.0,0.98,72400,827.23,29.07,457.92,21.63,204.16,14.44,78.12,8.93,33.04,5.81,117.99,10.98,100.72,10.15,116.59,10.92,14.59,3.86,14.93,3.91
14481,14482,13.8670571,56.1088584,1379418.8,6221746.3,1.0,0.98,72405,811.65,28.78,460.93,21.69,210.11,14.64,76.73,8.85,33.82,5.88,116.55,10.91,99.43,10.07,111.42,10.66,15.25,3.95,13.24,3.68
14482,14483,13.8671144,56.108827,1379422.3,6221742.7,1.0,0.99,72410,792.69,28.36,460.46,21.62,216.09,14.81,75.06,8.73,36.4,6.08,116.66,10.88,97.79,9.96,107.57,10.45,15.89,4.02,11.03,3.35
14483,14484,13.8671721,56.1087957,1379425.8,6221739.1,1.0,0.99,72415,775.99,27.96,457.79,21.47,220.12,14.89,73.4,8.6,39.28,6.29,117.45,10.88,96.43,9.86,104.86,10.28,16.47,4.07,9.04,3.02
14484,14485,13.8672301,56.1087647,1379429.3,6221735.5,1.0,1.0,72420,767.17,27.7,454.23,21.32,220.18,14.84,72.07,8.49,40.97,6.4,117.99,10.86,95.98,9.8,103.09,10.16,16.97,4.12,8.01,2.83
14485,14486,13.8672886,56.1087339,1379432.8,6221732.0,1.0,1.0,72425,770.39,27.7,450.89,21.19,214.94,14.63,71.32,8.43,40.39,6.34,117.67,10.83,96.91,9.82,102.08,10.08,17.36,4.16,8.53,2.91
14486,14487,13.8673475,56.1087034,1379436.4,6221728.5,1.0,1.01,72430,782.83,27.9,448.03,21.1,206.31,14.32,71.23,8.41,38.42,6.18,117.11,10.79,98.78,9.91,101.72,10.06,17.58,4.18,10.26,3.19
14487,14488,13.8674065,56.1086729,1379440.0,6221725.0,1.0,1.01,72435,799.53,28.2,445.64,21.06,197.18,14.01,71.84,8.45,36.55,6.03,117.32,10.8,100.91,10.02,101.92,10.07,17.57,4.18,12.64,3.55
14488,14489,13.8674657,56.1086425,1379443.5,6221721.5,1.0,1.0,72440,815.53,28.53,443.7,21.04,190.45,13.79,73.18,8.55,36.26,6.02,119.32,10.91,102.59,10.12,102.59,10.12,17.25,4.15,15.07,3.88
14489,14490,13.8675247,56.1086121,1379447.1,6221718.0,1.0,1.0,72445,826.06,28.79,442.23,21.06,188.83,13.76,75.26,8.69,38.93,6.25,124.02,11.15,103.16,10.17,103.63,10.2,16.57,4.08,17.0,4.13
14490,14491,13.8675837,56.1085816,1379450.7,6221714.5,1.0,0.99,72450,829.82,28.95,441.55,21.12,192.24,13.93,77.61,8.85,44.21,6.68,130.67,11.49,102.58,10.18,104.82,10.29,15.66,3.98,18.21,4.29
14491,14492,13.8676427,56.1085511,1379454.3,6221711.0,1.0,0.98,72455,828.45,29.01,442.25,21.2,198.17,14.19,79.42,8.98,50.26,7.15,137.08,11.8,101.34,10.15,105.83,10.37,14.8,3.88,18.76,4.37
14492,14493,13.8677018,56.1085207,1379457.9,6221707.5,1.0,0.98,72460,823.65,28.98,444.91,21.3,204.09,14.43,79.84,9.02,55.22,7.5,141.01,11.99,99.92,10.1,106.32,10.41,14.27,3.81,18.75,4.37
14493,14494,13.8677612,56.1084905,1379461.5,6221704.1,1.0,0.98,72465,817.14,28.87,450.14,21.43,207.44,14.55,78.04,8.92,57.2,7.64,140.24,11.96,98.83,10.04,105.98,10.4,14.37,3.83,18.25,4.31
14494,14495,13.8678209,56.1084604,1379465.1,6221700.6,1.0,0.98,72470,810.74,28.7,457.82,21.57,206.69,14.49,73.94,8.67,55.26,7.49,134.04,11.67,98.29,9.99,104.77,10.32,15.16,3.92,17.34,4.2
14495,14496,13.8678808,56.1084304,1379468.7,6221697.2,1.0,0.99,72475,806.51,28.53,466.17,21.69,202.69,14.3,69.27,8.36,50.6,7.15,125.23,11.24,97.99,9.95,103.41,10.22,16.22,4.05,16.15,4.04
14496,14497,13.8679407,56.1084005,1379472.3,6221693.7,1.0,1.0,72480,806.57,28.45,473.18,21.79,196.65,14.05,66.02,8.14,44.74,6.7,117.12,10.84,97.51,9.89,102.7,10.15,17.05,4.14,14.79,3.85
14497,14498,13.8680005,56.1083705,1379476.0,6221690.3,1.0,1.0,72485,813.02,28.52,476.85,21.84,189.77,13.78,66.16,8.13,39.2,6.26,113.01,10.63,96.43,9.82,103.46,10.17,17.15,4.14,13.37,3.66
14498,14499,13.8680601,56.1083404,1379479.6,6221686.8,1.0,1.0,72490,827.46,28.79,475.43,21.82,183.2,13.55,71.35,8.45,35.38,5.95,115.75,10.77,94.38,9.72,106.35,10.32,16.11,4.02,11.99,3.47
14499,14500,13.8681195,56.1083101,1379483.2,6221683.4,1.0,0.99,72495,846.82,29.2,469.72,21.75,177.49,13.37,80.09,8.98,33.71,5.83,124.12,11.18,91.44,9.6,110.73,10.56,14.33,3.8,10.79,3.3
14500,14501,13.8681785,56.1082797,1379486.8,6221679.9,1.0,0.99,72500,865.6,29.62,461.88,21.64,172.88,13.24,89.26,9.51,34.06,5.88,134.72,11.69,87.91,9.44,115.24,10.81,12.64,3.58,9.85,3.16
14501,14502,13.8682373,56.1082491,1379490.3,6221676.4,1.0,0.98,72505,878.27,29.91,454.05,21.51,169.63,13.15,95.7,9.87,36.34,6.09,144.13,12.12,84.1,9.26,118.54,10.99,11.86,3.48,9.29,3.08
14502,14503,13.8682958,56.1082184,1379493.9,6221672.8,1.0,0.98,72510,879.38,29.95,448.35,21.39,167.98,13.09,96.32,9.91,40.42,6.42,148.96,12.33,80.31,9.05,119.29,11.03,12.82,3.62,9.21,3.07
14503,14504,13.8683539,56.1081874,1379497.4,6221669.3,1.0,0.98,72515,868.15,29.71,445.92,21.29,168.03,13.07,90.56,9.6,45.78,6.82,148.16,12.27,76.89,8.84,117.22,10.92,15.59,3.98,9.58,3.12
14504,14505,13.8684119,56.1081563,1379500.9,6221665.7,1.0,0.99,72520,850.58,29.32,446.41,21.24,169.68,13.1,81.59,9.08,51.28,7.2,144.01,12.06,74.27,8.66,113.56,10.71,19.13,4.4,10.17,3.21
14505,14506,13.8684698,56.1081252,1379504.4,6221662.2,1.0,1.0,72525,833.25,28.93,449.36,21.24,172.8,13.17,72.87,8.56,55.76,7.48,139.07,11.82,72.85,8.55,109.66,10.49,22.32,4.73,10.73,3.28
14506,14507,13.8685277,56.1080941,1379507.9,6221658.6,1.0,1.0,72530,822.71,28.68,454.32,21.31,177.28,13.31,67.88,8.24,58.05,7.62,135.92,11.66,73.06,8.55,106.9,10.34,24.04,4.9,11.0,3.32
14507,14508,13.8685858,56.1080631,1379511.4,6221655.1,1.0,1.0,72535,823.28,28.67,460.62,21.45,182.77,13.51,68.89,8.29,57.44,7.57,136.29,11.67,75.12,8.66,106.2,10.3,23.62,4.86,10.84,3.29
14508,14509,13.8686439,56.1080321,1379514.9,6221651.5,1.0,1.0,72540,831.69,28.83,466.98,21.6,188.22,13.72,74.14,8.61,54.83,7.4,139.21,11.8,78.54,8.86,107.01,10.34,21.97,4.69,10.35,3.22
14509,14510,13.8687022,56.1080012,1379518.5,6221648.0,1.0,1.0,72545,843.05,29.05,471.94,21.73,192.4,13.88,81.03,9.0,51.45,7.18,143.11,11.97,82.69,9.1,108.5,10.42,20.28,4.51,9.71,3.12
14510,14511,13.8687605,56.1079703,1379522.0,6221644.4,1.0,1.0,72550,852.47,29.2,474.08,21.78,194.11,13.94,86.95,9.33,48.53,6.97,146.43,12.1,86.95,9.33,109.8,10.48,19.79,4.45,9.12,3.02
14511,14512,13.8688187,56.1079394,1379525.5,6221640.9,1.0,1.0,72555,855.62,29.21,472.23,21.7,192.38,13.85,89.55,9.45,47.17,6.86,147.75,12.14,90.72,9.51,110.16,10.48,21.51,4.63,8.75,2.95
14512,14513,13.868877,56.1079085,1379529.0,6221637.3,1.0,1.01,72560,853.1,29.09,467.62,21.54,188.58,13.68,88.99,9.4,47.27,6.85,147.05,12.08,93.6,9.64,109.76,10.44,24.84,4.96,8.71,2.94
14513,14514,13.8689352,56.1078775,1379532.6,6221633.8,1.0,1.01,72565,848.12,28.92,462.79,21.36,185.29,13.52,86.74,9.25,48.09,6.89,145.07,11.96,95.33,9.7,109.26,10.38,28.29,5.28,9.11,3
14514,14515,13.8689934,56.1078465,1379536.1,6221630.2,1.0,1.02,72570,843.93,28.78,460.27,21.26,185.11,13.48,84.25,9.09,48.87,6.93,142.53,11.83,95.63,9.69,109.31,10.36,30.37,5.46,10.03,3.14
14515,14516,13.8690515,56.1078155,1379539.6,6221626.7,1.0,1.02,72575,843.72,28.76,462.53,21.29,190.54,13.67,82.97,9.02,48.9,6.92,140.16,11.72,94.26,9.61,110.54,10.41,29.63,5.39,11.56,3.37
14516,14517,13.8691095,56.1077844,1379543.1,6221623.1,1.0,1.02,72580,849.16,28.87,469.77,21.48,200.92,14.04,83.26,9.04,48.05,6.87,138.32,11.65,91.6,9.48,112.78,10.52,25.98,5.05,13.58,3.65
14517,14518,13.8691675,56.1077534,1379546.6,6221619.6,1.0,1.01,72585,860.23,29.13,479.72,21.75,212.08,14.46,84.28,9.12,46.9,6.8,137.02,11.63,88.77,9.36,114.96,10.65,20.91,4.54,15.76,3.94
14518,14519,13.8692255,56.1077223,1379550.1,6221616.0,1.0,1.01,72590,876.81,29.51,489.94,22.06,219.63,14.77,85.11,9.19,46.04,6.76,136.25,11.63,86.93,9.29,115.94,10.73,15.96,3.98,17.74,4.2
14519,14520,13.8692835,56.1076913,1379553.6,6221612.4,1.0,1.0,72595,898.78,30.0,498.02,22.33,219.24,14.82,84.85,9.22,46.09,6.79,135.99,11.67,87.23,9.35,114.59,10.71,12.65,3.56,19.17,4.38
14520,14521,13.8693417,56.1076603,1379557.2,6221608.9,1.0,0.99,72600,924.78,30.57,502.16,22.53,209.04,14.53,83.08,9.16,47.45,6.92,136.36,11.74,90.14,9.54,110.46,10.56,11.9,3.47,19.84,4.48
14521,14522,13.8693999,56.1076294,1379560.7,6221605.4,1.0,0.98,72605,950.25,31.1,502.11,22.61,193.48,14.04,80.61,9.06,50.06,7.14,137.79,11.84,94.4,9.8,104.74,10.33,12.92,3.63,19.84,4.49
14522,14523,13.8694581,56.1075985,1379564.2,6221601.8,1.0,0.98,72610,970.14,31.5,497.87,22.56,178.01,13.49,78.42,8.95,53.75,7.41,140.81,12.0,98.5,10.04,98.89,10.06,14.69,3.88,19.35,4.45
14523,14524,13.8695163,56.1075675,1379567.7,6221598.3,1.0,0.98,72615,979.43,31.63,489.47,22.36,168.06,13.1,77.51,8.9,58.37,7.72,145.91,12.21,100.9,10.15,94.37,9.82,16.19,4.07,18.52,4.35
14524,14525,13.8695744,56.1075365,1379571.3,6221594.7,1.0,0.99,72620,974.14,31.41,477.31,21.99,168.08,13.05,78.65,8.93,63.7,8.03,153.32,12.46,100.34,10.08,92.4,9.67,16.53,4.09,17.5,4.21
14525,14526,13.8696325,56.1075055,1379574.8,6221591.2,1.0,1.0,72625,957.33,30.95,464.51,21.56,176.14,13.28,81.17,9.01,68.9,8.3,161.5,12.71,97.29,9.87,92.55,9.62,15.82,3.98,16.26,4.03
14526,14527,13.8696905,56.1074744,1379578.3,6221587.6,1.0,1.01,72630,934.83,30.4,455.28,21.22,187.79,13.63,83.81,9.1,72.93,8.49,168.18,12.9,92.86,9.58,93.73,9.63,14.56,3.79,14.72,3.82
14527,14528,13.8697484,56.1074433,1379581.8,6221584.0,1.0,1.02,72635,912.5,29.92,453.8,21.1,198.55,13.96,85.32,9.15,74.72,8.56,171.11,12.96,88.18,9.3,94.88,9.65,13.24,3.6,12.79,3.54
14528,14529,13.8698063,56.1074122,1379585.3,6221580.5,1.0,1.02,72640,896.03,29.66,463.99,21.34,204.18,14.16,84.52,9.11,73.31,8.48,168.2,12.85,84.37,9.1,94.97,9.66,12.34,3.48,10.41,3.2
14529,14530,13.8698642,56.1073811,1379588.8,6221576.9,1.0,1.01,72645,888.71,29.66,484.22,21.9,204.59,14.23,81.7,8.99,69.16,8.27,160.39,12.6,82.12,9.02,94.02,9.65,12.11,3.46,7.83,2.78
14530,14531,13.8699222,56.10735,1379592.3,6221573.3,1.0,1.0,72650,891.61,29.89,507.96,22.56,203.44,14.28,78.43,8.87,64.03,8.01,151.34,12.32,81.77,9.05,92.98,9.65,12.6,3.55,5.58,2.37
14531,14532,13.8699803,56.107319,1379595.8,6221569.8,1.0,0.99,72655,905.72,30.31,528.48,23.15,204.54,14.4,76.34,8.8,59.74,7.78,144.83,12.12,83.64,9.21,92.82,9.7,13.84,3.75,4.21,2.07
14532,14533,13.8700385,56.1072881,1379599.4,6221566.2,1.0,0.98,72660,932.02,30.86,539.08,23.47,211.64,14.7,77.04,8.87,58.1,7.7,144.59,12.15,88.05,9.48,94.51,9.83,15.88,4.03,4.25,2.08
14533,14534,13.8700969,56.1072573,1379602.9,6221562.7,1.0,0.98,72665,968.65,31.46,537.19,23.43,225.98,15.19,81.08,9.1,59.93,7.82,152.12,12.47,94.81,9.84,98.43,10.03,18.55,4.35,5.87,2.45
14534,14535,13.8701554,56.1072265,1379606.4,6221559.2,1.0,0.98,72670,1008.17,32.01,528.45,23.18,243.72,15.74,86.93,9.4,64.17,8.08,164.46,12.93,102.72,10.22,103.76,10.27,21.34,4.66,8.47,2.93
14535,14536,13.8702139,56.1071956,1379610.0,6221555.6,1.0,0.99,72675,1042.45,32.43,519.47,22.89,260.41,16.21,92.79,9.67,69.54,8.38,178.08,13.4,110.46,10.56,109.52,10.51,23.66,4.89,11.37,3.39
14536,14537,13.8702721,56.1071647,1379613.5,6221552.1,1.0,1.0,72680,1063.38,32.62,516.83,22.74,271.62,16.48,96.86,9.84,74.74,8.65,189.49,13.77,116.72,10.81,114.74,10.71,24.97,5.0,13.88,3.73
14537,14538,13.8703301,56.1071336,1379617.0,6221548.5,1.0,1.01,72685,1065.08,32.53,525.47,22.85,273.99,16.5,97.77,9.86,78.68,8.84,195.87,13.95,120.39,10.94,118.6,10.86,24.84,4.97,15.46,3.92
14538,14539,13.870388,56.1071025,1379620.5,6221545.0,1.0,1.01,72690,1052.27,32.26,542.46,23.16,269.21,16.32,96.15,9.75,81.2,8.96,197.53,13.98,121.41,10.96,120.86,10.93,23.61,4.83,16.15,4
14539,14540,13.8704459,56.1070714,1379624.0,6221541.4,1.0,1.02,72695,1032.8,31.89,562.54,23.54,260.48,16.02,93.19,9.58,82.45,9.01,195.78,13.89,120.02,10.87,121.47,10.94,21.84,4.64,16.21,4
14540,14541,13.870504,56.1070404,1379627.5,6221537.9,1.0,1.02,72700,1014.53,31.56,580.44,23.87,251.0,15.7,90.11,9.4,82.56,9.0,191.87,13.72,116.46,10.69,120.41,10.87,20.11,4.44,15.86,3.95
14541,14542,13.8705626,56.1070097,1379631.1,6221534.3,1.0,1.02,72705,1004.77,31.35,591.21,24.05,243.76,15.44,88.05,9.28,81.67,8.94,187.05,13.53,111.02,10.42,117.66,10.73,18.94,4.3,15.36,3.88
14542,14543,13.8706215,56.1069792,1379634.7,6221530.8,1.0,1.02,72710,1004.06,31.3,593.81,24.07,239.42,15.28,87.15,9.22,80.03,8.84,181.95,13.32,104.67,10.11,113.97,10.55,18.42,4.24,14.92,3.82
14543,14544,13.8706807,56.1069488,1379638.2,6221527.4,1.0,1.03,72715,1008.26,31.35,589.89,23.98,236.99,15.2,86.87,9.2,78.0,8.72,176.85,13.13,98.83,9.81,110.54,10.38,18.34,4.23,14.75,3.79
14544,14545,13.87074,56.1069185,1379641.8,6221523.9,1.0,1.02,72720,1013.14,31.46,581.14,23.82,235.46,15.16,86.68,9.2,75.9,8.61,171.96,12.96,94.92,9.63,108.59,10.3,18.49,4.25,15.05,3.83
